	Anda 1961 (virt.)	Anda 1961 (real)	Lef̩bure 1975 (virt.)	Lef̩bure 1975 (real)	Rangell 1977 (virt.)	Rangell 1977 (real)	Varsano 1980 (virt.)	Varsano 1980 (real)	mean (66)	
Theme	01:02	01:02	00:54	00:27	00:55	00:55	00:49	00:49	00:51	
Var. 1	02:26	01:13	01:25	00:42	01:33	01:33	01:16	01:16	01:44	
Var. 2	01:00	00:41	00:39	00:27	01:00	01:00	00:44	00:58	00:51	
Var. 3	01:56	00:58	01:12	00:36	01:43	01:43	01:32	01:32	01:27	
Var. 4	01:03	00:32	00:56	00:28	00:55	00:55	01:10	01:10	01:05	
Var. 5	00:55	00:41	00:49	00:38	00:52	00:52	00:56	00:56	00:55	
Var. 6	01:41	00:51	01:27	00:44	02:23	01:11	01:38	01:38	01:42	
Var. 7	01:10	00:35	01:01	00:31	00:57	00:57	01:02	00:47	01:06	
Var. 8	01:37	01:13	01:07	00:50	02:09	01:04	01:24	01:24	01:27	
Var. 9	02:27	01:14	01:30	00:45	01:22	01:02	01:45	01:45	01:47	
Var. 10	00:34	00:34	00:34	00:34	00:32	00:32	00:39	00:39	00:36	
Var. 11	01:06	00:44	00:53	00:36	01:11	00:48	01:01	01:01	01:05	
Var. 12	00:48	00:48	01:08	01:08	01:12	01:12	01:06	01:06	00:55	
Var. 13	01:09	01:09	00:55	00:55	00:55	00:55	01:02	01:02	01:01	
Var. 14	03:25	01:43	02:30	01:15	03:14	02:26	03:04	03:04	03:57	
Var. 15	00:35	00:35	00:38	00:19	00:34	00:34	00:41	00:41	00:36	
Var. 16	00:51	00:51	00:58	00:29	00:56	00:56	01:02	00:47	00:59	
Var. 17	00:53	00:53	00:56	00:28	00:54	00:54	01:01	00:44	01:00	
Var. 18	02:26	01:13	01:26	00:43	01:47	00:53	01:39	01:39	01:43	
Var. 19	00:57	00:57	00:54	00:27	00:48	00:48	00:59	00:29	00:52	
Var. 20	01:46	01:46	01:18	01:18	01:23	01:23	01:36	01:36	02:12	
Var. 21	01:27	00:43	01:10	00:35	01:27	01:04	01:13	01:13	01:16	
Var. 22	01:05	01:05	00:46	00:23	00:47	00:47	00:45	00:45	00:45	
Var. 23	00:47	00:47	00:51	00:38	00:46	00:46	00:58	00:44	00:52	
Var. 24	02:38	01:19	02:04	01:02	02:39	01:19	03:15	02:22	02:58	
Var. 25	00:40	00:40	00:41	00:21	00:50	00:50	00:44	00:22	00:46	
Var. 26	01:38	00:49	01:11	00:35	01:54	00:57	01:23	01:23	01:14	
Var. 27	00:55	00:55	01:01	00:31	00:54	00:54	01:02	00:31	00:59	
Var. 28	01:05	00:33	01:09	00:52	00:59	00:29	01:09	01:09	00:57	
Var. 29	01:20	01:20	00:53	00:53	01:20	01:20	01:09	01:09	01:17	
Var. 30	01:10	01:10	01:43	01:21	02:07	01:38	02:12	02:12	02:01	
Var. 31	05:02	02:31	04:18	03:14	05:25	05:25	04:58	02:29	04:50	
Var. 32	03:05	03:05	02:56	02:56	02:44	02:44	03:02	03:02	03:01	
Var. 33	04:27	03:10	03:39	03:08	04:40	04:40	03:57	03:22	03:51	
total	00:55:07	00:38:19	00:45:36	00:30:49	00:53:47	00:45:28	0:51:51	0:45:45	00:52:39	
